learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected
24500.0,0.609644,3.459457962049379E-9,24500.0,87.48979591836735,74.43721638731141,18.4840425531915,70.63895009100489,87.2188711378136,87.198527175029,87.2392245955614,39.0,2688.0,2.0
24600.0,0.612172,3.4738406290610638E-9,24600.0,87.47967479674796,74.41206097272747,18.32405197560328,70.59385144166507,87.20630302858355,87.185511588338,87.22710438761244,63.0,2624.0,2.0
24700.0,0.614461,3.4869014409681167E-9,24700.0,87.4574898785425,74.36566575180638,18.344754876120124,70.54012932674019,87.18308008794712,87.16326599162096,87.20290319466714,49.0,2656.0,1.0
24800.0,0.616647,3.4991981027026976E-9,24800.0,87.46774193548387,74.38868359832668,18.27504601630288,70.56818181818181,87.19463367360375,87.17314026888509,87.2161376797617,46.0,2680.0,1.0
24900.0,0.618928,3.5119394626882347E-9,24900.0,87.46184738955823,74.37986308612122,18.14368117461981,70.58047493403694,87.190132530275,87.17234900233004,87.20792331553035,102.0,2688.0,1.0
25000.0,0.621693,3.5276933945715434E-9,25000.0,87.444,74.34754203067388,18.105922254109057,70.55347091932458,87.1740012481662,87.15504289599454,87.19296784994239,97.0,2640.0,1.0
25100.0,0.624147,3.5414874491592255E-9,25100.0,87.45019920318725,74.35581292857927,18.075422626788036,70.54698457223,87.1781457274195,87.15874156756075,87.19755852910251,103.0,2672.0,1.0
25200.0,0.626881,3.5570647546814555E-9,25200.0,87.44444444444444,74.34177260388891,18.073537027446964,70.53455019556715,87.1710452012243,87.15520109982278,87.18689506432888,62.0,2688.0,1.0
25300.0,0.629532,3.572158184316424E-9,25300.0,87.40316205533597,74.27482246679182,17.94541709577755,70.49074074074075,87.1377783371568,87.11408294901007,87.16148661929644,31.0,2632.0,2.0
25400.0,0.632467,3.5886498892472856E-9,25400.0,87.3976377952756,74.26189375131555,17.944116893104372,70.46230506597769,87.13139488076564,87.1051812155392,87.15762432836212,82.0,2664.0,1.0
25500.0,0.634856,3.6022615142994464E-9,25500.0,87.40392156862745,74.27570093061686,17.914643496038856,70.49150206706477,87.13819883530665,87.11510156568866,87.1613083559658,68.0,2688.0,1.0
25600.0,0.636838,3.6135706139935395E-9,25600.0,87.41796875,74.30655851317852,17.91539245667686,70.53604098060738,87.1536123032294,87.13106901115934,87.17616726350326,168.0,2688.0,0.0
25700.0,0.639941,3.6312760309212747E-9,25700.0,87.40466926070039,74.28184744942185,17.88432267884323,70.51644047727478,87.14125400836605,87.1188588376245,87.16366069607746,83.0,2656.0,1.0
25800.0,0.641904,3.6423182756536544E-9,25800.0,87.43410852713178,74.33769292129836,17.861667088928275,70.56206301643512,87.16921274366334,87.14552659357592,87.19291177304032,183.0,2680.0,0.0
25900.0,0.644183,3.6550012975931173E-9,25900.0,87.41698841698842,74.3071498069398,17.70202020202018,70.56007226738934,87.1537890336645,87.13575598479447,87.17182954808436,67.0,2608.0,1.0
26000.0,0.646472,3.6680431601901855E-9,26000.0,87.41923076923077,74.30779714582664,17.669267556003035,70.53684020897137,87.15419758032868,87.13281079680569,87.17559486521851,101.0,2640.0,1.0
26100.0,0.64844,3.679044290135305E-9,26100.0,87.4521072796935,74.37677905685396,17.754897036665053,70.61989773033103,87.18871022285511,87.1665887413234,87.21084293539114,201.0,2672.0,0.0
26200.0,0.650694,3.691830757177539E-9,26200.0,87.45038167938931,74.36269090369551,17.552657973921757,70.56928034371643,87.1816520198201,87.15981505341261,87.20349993100993,33.0,2592.0,1.0
26300.0,0.652954,3.704492232451837E-9,26300.0,87.45247148288973,74.35842649998212,17.561828628528616,70.53045186640472,87.17956633013318,87.15595149239145,87.20319396818724,133.0,2624.0,0.0
26400.0,0.655793,3.7204327641261957E-9,26400.0,87.46212121212122,74.38295878338731,17.559153175591547,70.56992975904686,87.19188161866639,87.16678119748269,87.21699649977644,49.0,2656.0,1.0
26500.0,0.658255,3.734521460202006E-9,26500.0,87.46037735849058,74.37691705016643,17.604760724026804,70.56948011690729,87.1887247996096,87.16825736366238,87.20920184947666,22.0,2688.0,1.0
26600.0,0.660943,3.749575209286479E-9,26600.0,87.45864661654136,74.3738336515677,17.487014593123973,70.56643726839599,87.18719197724755,87.16639508065886,87.20799880000385,68.0,2616.0,1.0
26700.0,0.663263,3.7628129041857194E-9,26700.0,87.43820224719101,74.32646203430514,17.266896891958535,70.50131926121371,87.16344246628186,87.14512582953523,87.18176680442798,82.0,2656.0,1.0
26800.0,0.665204,3.773731394774384E-9,26800.0,87.46268656716418,74.38010366498354,17.22099039172215,70.57793345008758,87.19024313951395,87.17287017143545,87.2076230336047,182.0,2680.0,0.0
26900.0,0.667631,3.787519346094794E-9,26900.0,87.43866171003718,74.32458870378058,17.059401080019654,70.50453910614527,87.16241155410611,87.14874071659999,87.1760866813155,44.0,2608.0,2.0
27000.0,0.669674,3.798914357191987E-9,27000.0,87.47037037037036,74.39810015017224,17.083333333333282,70.61327310632383,87.19919635933644,87.18403385567292,87.21436413785356,144.0,2640.0,0.0
27100.0,0.671914,3.811435968511635E-9,27100.0,87.47970479704797,74.4329442964214,16.96035242290754,70.70201191606944,87.21665029527593,87.20015323562566,87.23315359813711,92.0,2672.0,1.0
